0,1,2,3,4,5
I knew you 'd be delighted to hear that .,0,0,drive,verb,"operate or control a vehicle<FF>travel or be transported in a vehicle<FF>cause someone or something to move by driving<FF>force into or from an action or state, either physically or metaphorically<FF>to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly<FF>cause to move back by force or influence<FF>compel somebody to do something, often against his own will or judgment<FF>push, propel, or press with force<FF>cause to move rapidly by striking or throwing with force<FF>strive and make an effort to reach a goal<FF>move into a desired direction of discourse<FF>have certain properties when driven<FF>work as a driver<FF>move by being propelled by a force<FF>urge forward<FF>proceed along in a vehicle<FF>strike with a driver, as in teeing off<FF>hit very hard, as by swinging a bat horizontally<FF>excavate horizontally<FF>cause to function by supplying the force or power for or by controlling<FF>hunting: search for game<FF>hunting: chase from cover into more open ground<FF>"
"Ineffectual or not against lingering gases it seemed a wise precaution , even if it was only psychological .",0,8,invalidate,verb,declare invalid<FF>make invalid for use<FF>show to be invalid<FF>take away the legal force of or render ineffective<FF>
"Damn it , you knew about it for long enough , snapped the Exec Director .",1,3,see,verb,"perceive by sight or have the power to perceive by sight<FF>perceive (an idea or situation) mentally<FF>perceive or be contemporaneous with<FF>imagine; conceive of; see in one's mind<FF>deem to be<FF>get to know or become aware of, usually accidentally<FF>see or watch<FF>come together<FF>find out, learn, or determine with certainty, usually by making an inquiry or other effort<FF>be careful or certain to do something; make certain of something<FF>go to see for professional or business reasons<FF>go to see for a social visit<FF>go to see a place, as for entertainment<FF>take charge of or deal with<FF>receive as a specified guest<FF>date regularly; have a steady relationship with<FF>see and understand, have a good eye<FF>deliberate or decide<FF>observe as if with an eye<FF>observe, check out, and look over carefully or inspect<FF>go or live through<FF>accompany or escort<FF>match or meet<FF>make sense of; assign a meaning to<FF>"
"In Mr Dobbs 's words , a telecottage is a room in a village filled with computer communications that can be used by local people to learn and work .",0,33,abound,verb,be abundant or plentiful; exist in large quantities<FF>be in a state of movement or action<FF>
"Yeah I 'm wondering whether it 's playing to itself , with the television off .",0,58,find,verb,"come upon, as if by accident; meet with<FF>discover or determine the existence, presence, or fact of<FF>come upon after searching; find the location of something that was missed or lost<FF>establish after a calculation, investigation, experiment, survey, or study<FF>come to believe on the basis of emotion, intuitions, or indefinite grounds<FF>perceive or be contemporaneous with<FF>get something or somebody for a specific purpose<FF>make a discovery, make a new finding<FF>make a discovery<FF>obtain through effort or management<FF>decide on and make a declaration about<FF>receive a specified treatment (abstract)<FF>perceive oneself to be in a certain condition or place<FF>get or find back; recover the use of<FF>succeed in reaching; arrive at<FF>accept and make use of one's personality, abilities, and situation<FF>"
"In the UK such research is widespread though there are specialist environmental epidemiology research institutes at Southampton and Cardiff ( funded by the Medical Research Council ) , and others at the University of Surrey ( Robens Institute ) and at the London School for Hygiene and Tropical Medicine .",0,4,attempt,verb,make an effort or attempt<FF>enter upon an activity or enterprise<FF>
"Xavier Mellery , the painter of the nuns , was described in the catalogue as "" creating a light which is the negation of that which envelops our immediate visual experience of things ; it is rather the Interior light of your mind """,0,7,continue,verb,"continue a certain state, condition, or activity<FF>continue talking;  he continued,<FF>keep or maintain in unaltered condition; cause to remain or last<FF>move ahead; travel onward in time or space<FF>allow to remain in a place or position or maintain a property or feature<FF>do something repeatedly and showing no intention to stop<FF>continue after an interruption<FF>continue in a place, position, or situation<FF>span an interval of distance, space or time<FF>exist over a prolonged period of time<FF>"
"In the fifth group session entitled Focus on the Individual , the counselling and the monitoring combine with the directing and assisting methods .",0,4,say,verb,"express in words<FF>report or maintain<FF>express a supposition<FF>have or contain a certain wording or form<FF>give instructions to or direct somebody to do something with authority<FF>speak, pronounce, or utter in a certain way<FF>communicate or express nonverbally<FF>utter aloud<FF>state as one's opinion or judgement; declare<FF>recite or repeat a fixed text<FF>indicate<FF>"
"Campbell 's hard-working side are still trying to sort out their system , which involves a spare defender and , as far as one can see , a good deal of improvisation .",0,2,go,verb,"change location; move, travel, or proceed, also metaphorically<FF>follow a procedure or take a course<FF>move away from a place into another direction<FF>enter or assume a certain state or condition<FF>be awarded; be allotted<FF>have a particular form<FF>stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point<FF>follow a certain course<FF>be abolished or discarded<FF>be or continue to be in a certain condition<FF>make a certain noise or sound<FF>perform as expected when applied<FF>to be spent or finished<FF>progress by being changed<FF>continue to live through hardship or adversity<FF>pass, fare, or elapse; of a certain state of affairs or action<FF>pass from physical life and lose all bodily attributes and functions necessary to sustain life<FF>be in the right place or situation<FF>be ranked or compare<FF>begin or set in motion<FF>have a turn; make one's move in a game<FF>be contained in<FF>be sounded, played, or expressed<FF>blend or harmonize<FF>lead, extend, or afford access<FF>be the right size or shape; fit correctly or as desired<FF>go through in search of something; search through someone's belongings in an unauthorized way<FF>be spent<FF>give support (to) or make a choice (of) one out of a group or number<FF>stop operating or functioning<FF>"
"Technological hazards are more unpredictable and may be extremely rare , so that it becomes difficult to use probability concepts to quantify risk , especially those which rely on notions of relative frequency .",0,1,know,verb,"be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about<FF>know how to do or perform something<FF>be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt<FF>be familiar or acquainted with a person or an object<FF>have firsthand knowledge of states, situations, emotions, or sensations<FF>accept (someone) to be what is claimed or accept his power and authority<FF>have fixed in the mind<FF>have sexual intercourse with<FF>know the nature or character of<FF>be able to distinguish, recognize as being different<FF>perceive as familiar<FF>"
"Active swimmers in the surface waters of the present oceans are likely to feed directly on the plankton , and the trilobites may have had a method of harvesting large quantities of minute food .",0,4,linger,verb,remain present although waning or gradually dying<FF>be about<FF>leave slowly and hesitantly<FF>take one's time; proceed slowly<FF>move to and fro<FF>
In 1983 three of these offered nursery places to children from the age of 2 .,1,11,snap,verb,"utter in an angry, sharp, or abrupt tone<FF>separate or cause to separate abruptly<FF>break suddenly and abruptly, as under tension<FF>move or strike with a noise<FF>close with a snapping motion<FF>make a sharp sound<FF>move with a snapping sound<FF>to grasp hastily or eagerly<FF>put in play with a snap<FF>cause to make a snapping sound<FF>lose control of one's emotions<FF>bring the jaws together<FF>record on photographic film<FF>"
Ah who wants to go to Montu,0,28,work,verb,"exert oneself by doing mental or physical work for a purpose or out of necessity<FF>be employed<FF>have an effect or outcome; often the one desired or expected<FF>perform as expected when applied<FF>shape, form, or improve a material<FF>give a workout to<FF>proceed along a path<FF>operate in a certain place, area, or specialty<FF>proceed towards a goal or along a path or through an activity<FF>move in an agitated manner<FF>cause to happen or to occur as a consequence<FF>cause to work<FF>prepare for crops<FF>behave in a certain way when handled<FF>have and exert influence or effect<FF>operate in or through<FF>cause to operate or function<FF>provoke or excite<FF>gratify and charm, usually in order to influence<FF>make something, usually for a specific function<FF>move into or onto<FF>make uniform<FF>use or manipulate to one's advantage<FF>find the solution to (a problem or question) or understand the meaning of<FF>cause to undergo fermentation<FF>go sour or spoil<FF>arrive at a certain condition through repeated motion<FF>"
"As he did so , the sound came nearer ; louder .",0,3,wonder,verb,have a wish or desire to know something<FF>place in doubt or express doubtful speculation<FF>be amazed at<FF>
She made a kind of progress up the Palladian marble stair .,0,20,fund,verb,convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds<FF>place or store up in a fund for accumulation<FF>provide a fund for the redemption of principal or payment of interest<FF>invest money in government securities<FF>accumulate a fund for the discharge of a recurrent liability<FF>furnish money for<FF>
Sweetman asked carelessly .,0,10,describe,verb,"give a description of<FF>to give an account or representation of in words<FF>make a mark or lines on a surface<FF>identify as in botany or biology, for example<FF>"
"A third , more precise formulation derives from the recommendations of the Criminal Law Revision Committee in 1980 , namely , that a killing should be classified as murder in those situations where there is an intention to cause serious injury coupled with awareness of the risk of death .",0,5,entitle,verb,give the right to<FF>give a title to<FF>give a title to someone; make someone a member of the nobility<FF>
Now let me tell you all the news .,1,6,try,verb,"make an effort or attempt<FF>put to the test, as for its quality, or give experimental use to<FF>put on trial or hear a case and sit as the judge at the trial of<FF>take a sample of<FF>examine or hear (evidence or a case) by judicial process<FF>give pain or trouble to<FF>test the limits of<FF>melt (fat or lard) in order to separate out impurities<FF>put on a garment in order to see whether it fits and looks nice<FF>"
"The travelling chaos of a modern party leader 's election entourage had carried Major within a few miles of the home of the founder of the profession , a few of whose more troublesome contemporary practitioners are said to have caused him much irritation over the 16 months of his premiership .",0,21,quantify,verb,use as a quantifier<FF>express as a number or measure or quantity<FF>
"The Pope , too , has spoken warmly of unity .",1,28,harvesting,verb,"gather, as of natural products<FF>remove from a culture or a living or dead body, as for the purposes of transplantation<FF>"
"A successful policy for tackling the roots of urban disorder was seen as one which sought to involve all the community in dealing with the problems of each area so that they could come to feel that they have a stake in its future ( Scarman , 1981 , para. 6.42 ) .",0,5,offer,verb,"make available or accessible, provide or furnish<FF>present for acceptance or rejection<FF>agree freely<FF>put forward for consideration<FF>offer verbally<FF>make available for sale<FF>propose a payment<FF>produce or introduce on the stage<FF>present as an act of worship<FF>mount or put up<FF>make available; provide<FF>ask (someone) to marry you<FF>threaten to do something<FF>"
"A large sports-fishing boat was moored alongside Wavebreaker , but moored so crudely that whoever had brought the powerboat alongside the schooner had not bothered to put out fenders , but instead had gouged long ugly gashes in Wavebreaker 's white paint .",0,4,go,verb,"change location; move, travel, or proceed, also metaphorically<FF>follow a procedure or take a course<FF>move away from a place into another direction<FF>enter or assume a certain state or condition<FF>be awarded; be allotted<FF>have a particular form<FF>stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point<FF>follow a certain course<FF>be abolished or discarded<FF>be or continue to be in a certain condition<FF>make a certain noise or sound<FF>perform as expected when applied<FF>to be spent or finished<FF>progress by being changed<FF>continue to live through hardship or adversity<FF>pass, fare, or elapse; of a certain state of affairs or action<FF>pass from physical life and lose all bodily attributes and functions necessary to sustain life<FF>be in the right place or situation<FF>be ranked or compare<FF>begin or set in motion<FF>have a turn; make one's move in a game<FF>be contained in<FF>be sounded, played, or expressed<FF>blend or harmonize<FF>lead, extend, or afford access<FF>be the right size or shape; fit correctly or as desired<FF>go through in search of something; search through someone's belongings in an unauthorized way<FF>be spent<FF>give support (to) or make a choice (of) one out of a group or number<FF>stop operating or functioning<FF>"
I mean look at that woman doing her er from the from the church .,1,7,come,verb,"move toward, travel toward something or somebody or approach something or somebody<FF>reach a destination; arrive by movement or progress<FF>come to pass; arrive, as in due course<FF>reach or enter a state, relation, condition, use, or position<FF>to be the product or result<FF>be found or available<FF>come forth<FF>be a native of<FF>extend or reach<FF>exist or occur in a certain point in a series<FF>cover a certain distance<FF>come under, be classified or included<FF>happen as a result<FF>add up in number or quantity<FF>develop into<FF>be received<FF>come to one's mind; suggest itself<FF>come from; be connected by a relationship of blood, for example<FF>proceed or get along<FF>experience orgasm<FF>have a certain priority<FF>"
"The odds are favourable enough according to Chelsea 's Mike Hazard , who said of his adversary : He could cope in Poland , not just because of his ability to close people down and use the ball well , but temperament you saw when he scored the goal that won Arsenal the League .",1,1,make,verb,"engage in<FF>give certain properties to something<FF>make or cause to be or to become<FF>cause to do; cause to act in a specified manner<FF>give rise to; cause to happen or occur, not always intentionally<FF>create or manufacture a man-made product<FF>make, formulate, or derive in the mind<FF>compel or make somebody or something to act in a certain way<FF>create by artistic means<FF>earn on some commercial or business transaction; earn as salary or wages<FF>create or design, often in a certain way<FF>to compose or represent:<FF>reach a goal, e.g.,<FF>be or be capable of being changed or made into<FF>make by shaping or bringing together constituents<FF>perform or carry out<FF>make by combining materials and parts<FF>change from one form into another<FF>act in a certain way so as to acquire<FF>charge with a function; charge to be<FF>achieve a point or goal<FF>reach a destination, either real or abstract<FF>institute, enact, or establish<FF>carry out or commit<FF>form by assembling individuals or constituents<FF>organize or be responsible for<FF>put in order or neaten<FF>head into a specified direction<FF>have a bowel movement<FF>undergo fabrication or creation<FF>be suitable for<FF>add up to<FF>amount to<FF>constitute the essence of<FF>appear to begin an activity<FF>proceed along a path<FF>reach in time<FF>gather and light the materials for<FF>prepare for eating by applying heat<FF>induce to have sex<FF>assure the success of<FF>represent fictitiously, as in a play, or pretend to be or act like<FF>consider as being<FF>calculate as being<FF>cause to be enjoyable or pleasurable<FF>favor the development of<FF>develop into<FF>behave in a certain way<FF>eliminate urine<FF>"
Would you care to join us ?,0,1,ask,verb,"inquire about<FF>make a request or demand for something to somebody<FF>direct or put; seek an answer to<FF>consider obligatory; request and expect<FF>address a question to and expect an answer from<FF>require as useful, just, or proper<FF>require or ask for as a price or condition<FF>"
"True , the new Secretary of State for the Environment laid stress , from the outset , on the need for economic regeneration , and indicated his sympathy for the voluntary sector in the tackling of urban problems .",0,38,because,verb,because<FF>
"come home from work she said I 've been looking round in Boots and that for you , she said er I 've decided , she said I was gon na get you a gift voucher .",0,3,tell,verb,express in words<FF>let something be known<FF>narrate or give a detailed account of<FF>give instructions to or direct somebody to do something with authority<FF>discern or comprehend<FF>inform positively and with certainty and confidence<FF>give evidence<FF>mark as different<FF>
Now if he does n't get the economy right he 's gon na end up with egg on his face and,0,37,say,verb,"express in words<FF>report or maintain<FF>express a supposition<FF>have or contain a certain wording or form<FF>give instructions to or direct somebody to do something with authority<FF>speak, pronounce, or utter in a certain way<FF>communicate or express nonverbally<FF>utter aloud<FF>state as one's opinion or judgement; declare<FF>recite or repeat a fixed text<FF>indicate<FF>"
"In 1979 a train carrying chlorine , liquid petroleum , toluene and propane was derailed in Mississauga , Ontario , causing a series of explosions .",0,6,speak,verb,express in speech<FF>exchange thoughts; talk with<FF>use language<FF>give a speech to<FF>make a characteristic or natural sound<FF>
Henning Albrechsten says : Modern information technology has given people in remote regions the opportunity to overcome their worst handicap ; their distance from the centres of learning and development .,0,17,involve,verb,"connect closely and often incriminatingly<FF>engage as a participant<FF>have as a necessary feature<FF>require as useful, just, or proper<FF>contain as a part<FF>occupy or engage the interest of<FF>make complex or intricate or complicated<FF>"
"Harrison describes ( p. 369 ) the way in which the inner urban powder-keg leads to a vicious circle , with many victims , but few individual villains :",0,5,moor,verb,secure in or as if in a berth or dock<FF>come into or dock at a wharf<FF>secure with cables or ropes<FF>
"Fraser dealt with this problem without difficulty and explained to Law in 1913 that "" the importance of getting important speeches in advance is shown in concrete manner by your Wallsend speech on October 29th .",0,1,mean,verb,mean or intend to express or convey<FF>have as a logical consequence<FF>denote or connote<FF>have in mind as a purpose<FF>have a specified degree of importance<FF>intend to refer to<FF>destine or designate for a certain purpose<FF>
Then she dried her eyes on the hem of her petticoat and went slowly back to the house .,0,35,use,verb,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose<FF>take or consume (regularly or habitually)<FF>use up, consume fully<FF>seek or achieve an end by using to one's advantage<FF>avail oneself to<FF>habitually do something (use only in the past tense)<FF>"
"If , in addition to finding a tenant , the agency is managing the let , you should be paid every month , less a tenant-finding fee of between two and four weeks ' rent .",0,4,join,verb,become part of; become a member of a group or organization<FF>cause to become joined or linked<FF>come into the company of<FF>make contact or come together<FF>be or become joined or united or linked<FF>
"In the USA the Environmental Protection Agency produces an Acute Hazards Events Database while the Department of Transportation has a database recording details of 25 000 releases of toxic materials ; such details include locational information , type and amount of material released , mode of release and resulting injuries or deaths ( Cutter and Solecki 1989 ) .",1,34,tackle,verb,"accept as a challenge<FF>put a harness<FF>seize and throw down an opponent player, who usually carries the ball<FF>"
"Sometimes , too , houses have to be sold by auction to satisfy the legal requirements of trustees or executors ( auctions provide adequate proof that the property has been sold at the going market value , and protect trustees from future claims of negligence ) .",0,5,say,verb,"express in words<FF>report or maintain<FF>express a supposition<FF>have or contain a certain wording or form<FF>give instructions to or direct somebody to do something with authority<FF>speak, pronounce, or utter in a certain way<FF>communicate or express nonverbally<FF>utter aloud<FF>state as one's opinion or judgement; declare<FF>recite or repeat a fixed text<FF>indicate<FF>"
"My Dress again suggests a conflict , but the ambivalence is gone .",0,13,end,verb,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical<FF>bring to an end or halt<FF>be the end of; be the last or concluding part of<FF>put an end to<FF>"
I suppose it is possible that squatters or other vagrants took possession of the house between the time of my uncle 's death and the sale of the property .,0,20,cause,verb,"give rise to; cause to happen or occur, not always intentionally<FF>cause to do; cause to act in a specified manner<FF>"
Digital data occupy a central position in this applications field and a number of examples are given to illustrate the extent to which their development has been hampered or facilitated in various countries by the policies of the organizations with responsibility for digital data provision .,1,8,give,verb,"cause to have, in the abstract sense or physical sense<FF>be the cause or source of<FF>transfer possession of something concrete or abstract to somebody<FF>convey or reveal information<FF>convey, as of a compliment, regards, attention, etc.; bestow<FF>organize or be responsible for<FF>convey or communicate; of a smile, a look, a physical gesture<FF>give as a present; make a gift of<FF>cause to happen or be responsible for<FF>dedicate<FF>give or supply<FF>transmit (knowledge or skills)<FF>bring about<FF>leave with; give temporarily<FF>emit or utter<FF>endure the loss of<FF>place into the hands or custody of<FF>give entirely to a specific person, activity, or cause<FF>give (as medicine)<FF>give or convey physically<FF>bestow<FF>bestow, especially officially<FF>move in order to make room for someone for something<FF>give food to<FF>contribute to some cause<FF>break down, literally or metaphorically<FF>estimate the duration or outcome of something<FF>execute and deliver<FF>deliver in exchange or recompense<FF>afford access to<FF>present to view<FF>perform for an audience<FF>be flexible under stress of physical force<FF>propose<FF>accord by verdict<FF>manifest or show<FF>offer in good faith<FF>submit for consideration, judgment, or use<FF>guide or direct, as by behavior of persuasion<FF>allow to have or take<FF>inflict as a punishment<FF>occur<FF>consent to engage in sexual intercourse with a man<FF>proffer (a body part)<FF>"
I 've got another bit of good news .,1,14,lead,verb,"take somebody somewhere<FF>have as a result or residue<FF>tend to or result in<FF>travel in front of; go in advance of others<FF>cause to undertake a certain action<FF>stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point<FF>be in charge of<FF>be ahead of others; be the first<FF>be conducive to<FF>lead, as in the performance of a composition<FF>lead, extend, or afford access<FF>move ahead (of others) in time or space<FF>cause something to pass or lead somewhere<FF>preside over<FF>"
"I know that , but will you make it stick .",0,18,get,verb,"come into the possession of something concrete or abstract<FF>enter or assume a certain state or condition<FF>cause to move; cause to be in a certain position or condition<FF>receive a specified treatment (abstract)<FF>reach a destination; arrive by movement or progress<FF>go or come after and bring or take back<FF>go through (mental or physical states or experiences)<FF>take vengeance on or get even<FF>achieve a point or goal<FF>cause to do; cause to act in a specified manner<FF>succeed in catching or seizing, especially after a chase<FF>come to have or undergo a change of (physical features and attributes)<FF>be stricken by an illness, fall victim to an illness<FF>communicate with a place or person; establish communication with, as if by telephone<FF>give certain properties to something<FF>move into a desired direction of discourse<FF>grasp with the mind or develop an understanding of<FF>attract and fix<FF>reach with a blow or hit in a particular spot<FF>reach by calculation<FF>acquire as a result of some effort or action<FF>purchase<FF>perceive by hearing<FF>suffer from the receipt of<FF>receive as a retribution or punishment<FF>leave immediately; used usually in the imperative form<FF>reach and board<FF>irritate<FF>evoke an emotional response<FF>apprehend and reproduce accurately<FF>earn or achieve a base by being walked by the pitcher<FF>overcome or destroy<FF>be a mystery or bewildering to<FF>take the first step or steps in carrying out an action<FF>undergo (as of injuries and illnesses)<FF>make children<FF>"
